VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,1/1/2016 0:00,1/1/2016 0:00,2,1.1,-73.9903717,40.73469543,1,N,-73.98184204,40.73240662,2,7.5,0.5,0.5,0,0,0.3,8.8
2,1/1/2016 0:00,1/1/2016 0:00,5,4.9,-73.98078156,40.7299118,1,N,-73.94447327,40.71667862,1,18,0.5,0.5,0,0,0.3,19.3
2,1/1/2016 0:00,1/1/2016 0:00,1,10.54,-73.98455048,40.67956543,1,N,-73.95027161,40.78892517,1,33,0.5,0.5,0,0,0.3,34.3
2,1/1/2016 0:00,1/1/2016 0:00,1,4.75,-73.99346924,40.71899033,1,N,-73.96224213,40.65733337,2,16.5,0,0.5,0,0,0.3,17.3
2,1/1/2016 0:00,1/1/2016 0:00,3,1.76,-73.96062469,40.78133011,1,N,-73.9772644,40.7585144,2,8,0,0.5,0,0,0.3,8.8
2,1/1/2016 0:00,1/1/2016 0:18,2,5.52,-73.9801178,40.74304962,1,N,-73.9134903,40.76314163,2,19,0.5,0.5,0,0,0.3,20.3
2,1/1/2016 0:00,1/1/2016 0:26,2,7.45,-73.9940567,40.71998978,1,N,-73.966362,40.78987122,2,26,0.5,0.5,0,0,0.3,27.3
1,1/1/2016 0:00,1/1/2016 0:11,1,1.2,-73.97942352,40.74461365,1,N,-73.99203491,40.7539444,2,9,0.5,0.5,0,0,0.3,10.3
1,1/1/2016 0:00,1/1/2016 0:11,1,6,-73.94715118,40.79104614,1,N,-73.92076874,40.8655777,2,18,0.5,0.5,0,0,0.3,19.3
2,1/1/2016 0:00,1/1/2016 0:11,1,3.21,-73.99834442,40.72389603,1,N,-73.99584961,40.68840027,2,11.5,0.5,0.5,0,0,0.3,12.8
2,1/1/2016 0:00,1/1/2016 0:06,1,0.79,-74.00614929,40.74491882,1,N,-73.9937973,40.74143982,2,6,0.5,0.5,0,0,0.3,7.3
2,1/1/2016 0:00,1/1/2016 0:15,6,2.43,-73.96932983,40.76353836,1,N,-73.99568939,40.74425125,1,12,0.5,0.5,3.99,0,0.3,17.29
2,1/1/2016 0:00,1/1/2016 0:00,4,0.01,-73.9890213,40.72153854,1,N,-73.98896027,40.72169876,2,2.5,0.5,0.5,0,0,0.3,3.8
1,1/1/2016 0:00,1/1/2016 0:14,1,3.7,-74.00430298,40.74224091,1,N,-74.00736237,40.70693588,1,14,0.5,0.5,3.05,0,0.3,18.35
1,1/1/2016 0:00,1/1/2016 0:14,2,2.2,-73.99199677,40.71857834,1,N,-74.00513458,40.73994446,1,11,0.5,0.5,1.5,0,0.3,13.8
2,1/1/2016 0:00,1/1/2016 0:07,1,0.54,-73.98516083,40.76895142,1,N,-73.99022675,40.76173019,2,6,0.5,0.5,0,0,0.3,7.3
2,1/1/2016 0:00,1/1/2016 0:07,1,1.92,-73.97309113,40.79536057,1,N,-73.97837067,40.7731514,2,7.5,0.5,0.5,0,0,0.3,8.8
1,1/1/2016 0:00,1/1/2016 0:04,1,1.7,-73.98210144,40.77469635,1,Y,-73.97093964,40.79670715,1,7,0.5,0.5,1.65,0,0.3,9.95
2,1/1/2016 0:00,1/1/2016 0:07,1,1.38,-73.99484253,40.71849823,1,N,-73.98980713,40.73423004,1,7,0.5,0.5,1.66,0,0.3,9.96
1,1/1/2016 0:00,1/1/2016 0:20,2,4.9,-73.95303345,40.67211533,1,N,-73.98657227,40.71059418,1,19,0.5,0.5,4.06,0,0.3,24.36
1,1/1/2016 0:00,1/1/2016 0:09,1,1.8,-73.98916626,40.7265892,1,N,-74.00948334,40.71507263,2,9,0.5,0.5,0,0,0.3,10.3
